start_time,consensus_reached_count,final_decision_count,team_size,consensus_checks_sent_count,total_duration_formatted,discussion_prompt_sent,bot_role,consensus_failed_count,main_end_time,end_time,main_start_time,votes_count,phase,group_name,group_id,status,final_vote_sent,total_duration_seconds,message_count,positions_all_set
2025-10-28T09:26:08.502803+00:00,1,1,3,1,27:32,True,探究型AI,1,2025-10-28T09:53:40.940792+00:00,2025-10-28T09:53:40.940792+00:00,2025-10-28T09:26:08.502803+00:00,3,main,決策群組 #301,C6ab11509d6554c1f6b4cc5fad686ab4d,completed,True,1652.437989,1,True
2025-11-14T08:21:11.914542+00:00,1,1,3,0,13:46,True,無介入AI,0,2025-11-14T08:34:58.215677+00:00,2025-11-14T08:34:58.215677+00:00,2025-11-14T08:21:11.914542+00:00,3,main,決策群組 #413,C6cf2a310240749e3ae594efddfa44d88,completed,True,826.301135,1,True
2025-11-15T09:28:18.107230+00:00,1,1,3,1,15:54,True,整合型AI,0,2025-11-15T09:44:12.867065+00:00,2025-11-15T09:44:12.867065+00:00,2025-11-15T09:28:18.107230+00:00,3,main,決策群組 #215,C6f8855729886418972bc4b641c178252,completed,True,954.759835,3,True
2025-11-01T09:30:52.143132+00:00,1,1,3,1,18:00,True,整合型AI,0,2025-11-01T09:48:52.649550+00:00,2025-11-01T09:48:52.649550+00:00,2025-11-01T09:30:52.143132+00:00,3,main,決策群組 #204,C71075578ec5a170a8552f59ed04a8c5b,completed,True,1080.506418,5,True
2025-11-05T13:24:57.606846+00:00,1,1,3,1,25:02,True,混合型AI,1,2025-11-05T13:50:00.599850+00:00,2025-11-05T13:50:00.599850+00:00,2025-11-05T13:24:57.606846+00:00,3,main,決策群組 #107,C780ea2a6e306c6d630351cf1a431a771,completed,True,1502.993004,3,True
2025-11-07T13:26:30.804353+00:00,1,1,3,2,34:28,True,探究型AI,2,2025-11-07T14:00:59.600902+00:00,2025-11-07T14:00:59.600902+00:00,2025-11-07T13:26:30.804353+00:00,3,main,決策群組 #308,C7dfeb7f5dd4bef2d0b3475ca5c49e949,completed,True,2068.796549,4,True
2025-11-01T11:29:30.586273+00:00,1,1,3,1,20:54,True,探究型AI,1,2025-11-01T11:50:24.715724+00:00,2025-11-01T11:50:24.715724+00:00,2025-11-01T11:29:30.586273+00:00,3,main,決策群組 #304,C8294a7e825863b4b2988144d38ae9ed9,completed,True,1254.129451,4,True
2025-11-08T13:19:43.343266+00:00,0,1,3,2,36:48,True,混合型AI,2,2025-11-08T13:56:32.031670+00:00,2025-11-08T13:56:32.031670+00:00,2025-11-08T13:19:43.343266+00:00,3,main,決策群組 #110,C8b8319596005bf324038f6b2ae4c1e0d,completed,True,2208.688404,0,True
2025-11-07T06:26:49.168819+00:00,1,1,3,1,19:45,True,無介入AI,0,2025-11-07T06:46:34.623308+00:00,2025-11-07T06:46:34.623308+00:00,2025-11-07T06:26:49.168819+00:00,3,main,決策群組 #407,C955629a7d6e6a68365a4ee8c044e4ec6,completed,True,1185.454489,1,True
2025-11-12T06:26:12.146533+00:00,1,1,3,1,15:57,True,探究型AI,0,2025-11-12T06:42:10.089810+00:00,2025-11-12T06:42:10.089810+00:00,2025-11-12T06:26:12.146533+00:00,3,main,決策群組 #311,C95a198dc4e0b530fc7fa9b6e14231e13,completed,True,957.943277,2,True
2025-11-16T02:21:39.450793+00:00,1,1,3,1,20:32,True,整合型AI,1,2025-11-16T02:42:11.980255+00:00,2025-11-16T02:42:11.980255+00:00,2025-11-16T02:21:39.450793+00:00,3,main,決策群組 #212,C970054dd71b3f7b5893e1c33fd09206a,completed,True,1232.529462,5,True
2025-11-04T09:28:09.264244+00:00,1,1,3,1,17:49,True,整合型AI,0,2025-11-04T09:45:58.647452+00:00,2025-11-04T09:45:58.647452+00:00,2025-11-04T09:28:09.264244+00:00,3,main,決策群組 #206,C9831abbff16c5c142795900ed632416c,completed,True,1069.383208,0,True
2025-11-06T11:20:16.983093+00:00,1,1,3,2,30:15,True,整合型AI,1,2025-11-06T11:50:32.721633+00:00,2025-11-06T11:50:32.721633+00:00,2025-11-06T11:20:16.983093+00:00,3,main,決策群組 #207,C9e3bccb6633c9d9d9544efc28e00ec74,completed,True,1815.73854,3,True
2025-11-08T06:23:10.670097+00:00,1,1,3,1,15:56,True,混合型AI,0,2025-11-08T06:39:07.527121+00:00,2025-11-08T06:39:07.527121+00:00,2025-11-08T06:23:10.670097+00:00,3,main,決策群組 #109,C9eb6274a194ff0687b301f99b490a1a9,completed,True,956.857024,4,True
2025-10-29T09:24:30.186306+00:00,0,1,3,2,35:35,True,無介入AI,1,2025-10-29T10:00:05.525225+00:00,2025-10-29T10:00:05.525225+00:00,2025-10-29T09:24:30.186306+00:00,3,main,決策群組 #401,Ca30843e3ffaab395315a0893f00b526d,completed,True,2135.338919,1,True
